Cluster,Size,Percentage,Age_mean,Tumor Size_mean,Regional Node Examined_mean,Reginol Node Positive_mean,Survival Months_mean
Noise,19,0.5%,54.421052631578945,55.63157894736842,12.947368421052632,3.210526315789474,55.10526315789474
Cluster_0,234,5.8%,53.888888888888886,41.0,21.5982905982906,14.816239316239317,75.35897435897436
Cluster_1,542,13.5%,53.44095940959409,34.821033210332104,16.1309963099631,5.730627306273063,75.00922509225093
Cluster_2,97,2.4%,55.45360824742268,30.47422680412371,13.051546391752577,2.1443298969072164,52.77319587628866
Cluster_3,69,1.7%,57.405797101449274,14.81159420289855,10.405797101449275,1.5217391304347827,50.31884057971015
Cluster_4,98,2.4%,55.52040816326531,36.52040816326531,14.520408163265307,5.969387755102041,50.142857142857146
Cluster_5,1054,26.2%,54.35009487666034,14.115749525616698,12.234345351043643,1.484819734345351,76.05692599620494
Cluster_6,23,0.6%,54.91304347826087,62.56521739130435,11.91304347826087,2.3043478260869565,49.04347826086956
Cluster_7,113,2.8%,54.991150442477874,46.256637168141594,20.761061946902654,16.964601769911503,46.23893805309734
Cluster_8,38,0.9%,52.36842105263158,33.28947368421053,10.68421052631579,1.736842105263158,40.39473684210526
Cluster_9,27,0.7%,58.148148148148145,15.037037037037036,11.074074074074074,1.4074074074074074,32.44444444444444
Cluster_10,55,1.4%,54.67272727272727,42.127272727272725,15.090909090909092,5.745454545454545,40.2
Cluster_11,855,21.2%,53.19298245614035,30.27953216374269,13.454970760233918,1.8491228070175438,75.15204678362574
Cluster_12,8,0.2%,55.125,74.75,16.375,2.5,41.125
Cluster_13,68,1.7%,53.5735294117647,43.088235294117645,20.0,15.676470588235293,34.705882352941174
Cluster_14,140,3.5%,53.7,32.19285714285714,12.764285714285714,1.9142857142857144,76.45
Cluster_15,7,0.2%,52.857142857142854,51.142857142857146,11.0,6.714285714285714,58.714285714285715
Cluster_16,188,4.7%,51.97872340425532,68.70212765957447,13.686170212765957,2.117021276595745,74.67553191489361
Cluster_17,93,2.3%,53.903225806451616,33.473118279569896,16.161290322580644,5.838709677419355,76.96774193548387
Cluster_18,155,3.9%,54.58709677419355,14.161290322580646,13.0,1.5612903225806452,81.23225806451613
Cluster_19,57,1.4%,54.73684210526316,40.59649122807018,19.859649122807017,14.385964912280702,81.05263157894737
Cluster_20,43,1.1%,56.97674418604651,69.04651162790698,13.232558139534884,1.9069767441860466,75.90697674418605
Cluster_21,23,0.6%,53.608695652173914,40.78260869565217,14.043478260869565,3.0434782608695654,73.82608695652173
Cluster_22,18,0.4%,53.55555555555556,71.44444444444444,16.61111111111111,6.0,83.05555555555556
