Algorithm,Silhouette Rank,Calinski-Harabasz Rank,Dunn Index Rank,Purity Rank,NMI Rank,V-Measure Rank,Average Rank
K-Means (K=20),4.0,4.0,1.0,3.5,4.0,4.0,3.4166666666666665
Agglomerative (n=15),6.0,6.0,2.5,3.5,2.0,2.0,3.6666666666666665
GMM (n=15),7.0,7.0,4.0,3.5,1.0,1.0,3.9166666666666665
K-Means (K=15),5.0,5.0,2.5,7.0,3.0,3.0,4.25
"DBSCAN (eps=0.15, ms=5)",3.0,2.0,11.0,3.5,6.0,6.0,5.25
"DBSCAN (eps=0.1, ms=6)",1.0,1.0,11.0,3.5,8.0,8.0,5.416666666666667
"DBSCAN (eps=0.2, ms=4)",2.0,3.0,11.0,3.5,7.0,7.0,5.583333333333333
Agglomerative (n=10),9.0,9.0,6.0,9.0,5.0,5.0,7.166666666666667
K-Means (K=10),8.0,8.0,5.0,10.0,11.0,11.0,8.833333333333334
GMM (n=10),10.0,10.0,7.0,8.0,9.0,9.0,8.833333333333334
GMM (n=5),12.0,12.0,9.0,11.0,10.0,10.0,10.666666666666666
K-Means (K=5),11.0,11.0,8.0,12.0,12.0,12.0,11.0
