Algorithm,N Clusters,Noise Ratio,Silhouette,Davies-Bouldin,Calinski-Harabasz,Dunn Index,Connectivity,Separation,Compactness,Purity,Entropy,Adjusted Rand,NMI,Homogeneity,Completeness,V-Measure,Fowlkes-Mallows,Survival H-stat,Survival p-value,Survival Separation
"DBSCAN (eps=0.1, ms=6)",23,0.004721669980119284,0.9999999974810387,3.425117581041945e-08,1.730287321636274e+30,0.0,6.041666666666665,2.603992861198787,1.2952990365648585e-14,1.0,-1.4426951601859514e-10,0.11028529477961861,0.3038133978072755,0.9999999999999992,0.17911555097447682,0.30381339780727556,0.44159339856774715,719.6035005821652,5.664491929616791e-138,Excellent
"DBSCAN (eps=0.15, ms=5)",25,0.0022365805168986083,0.9999999974407181,3.436761831665077e-08,1.5984735161527668e+30,0.0,14.498015873015854,2.565722819594863,1.2920728870341864e-14,1.0,-1.442695160185952e-10,0.11129180274613268,0.3045804895642666,0.9999999999999992,0.17964904124878658,0.3045804895642666,0.44137255554112415,734.4476047605075,1.3898975774320541e-139,Excellent
"DBSCAN (eps=0.2, ms=4)",26,0.001242544731610338,0.9999999974432653,3.499555763006325e-08,1.5369328054486041e+30,0.0,18.88055555555554,2.5116380665689757,1.2907869224787903e-14,1.0,-1.4426951601859516e-10,0.11093257493801797,0.3038267156021806,0.9999999999999988,0.17912480900207445,0.30382671560218066,0.4408715228687126,737.1462295938246,2.1050183351094032e-139,Excellent
K-Means (K=5),5,0.0,0.7000427837919952,0.6659049939331977,7005.171733175045,0.14507697684833212,7.071428571428572,2.854651701478466,0.4629567760043736,0.8690357852882704,0.3207215385949627,0.2314269740007573,0.23234457704979247,0.4806115161371766,0.15320452764343004,0.23234457704979247,0.6313753396093574,211.13970435533682,1.5108804693964447e-44,Good
K-Means (K=10),10,0.0,0.8325140814325018,0.44240949248450434,17150.170136189463,0.2169084164077533,8.610714285714284,3.009836792463085,0.16322275565297423,0.9505467196819085,0.1346974425712081,0.1277444494863501,0.2786597637679687,0.7818659113819607,0.16954268722810265,0.2786597637679687,0.47617887871634845,559.9357832712974,8.244567488879528e-115,Excellent
K-Means (K=15),15,0.0,0.9421052316846368,0.25259934147965946,63729.38405731681,0.4999999999999997,2.6888888888888896,2.854065147704182,0.040361172750067044,0.9942842942345924,0.02117339070758898,0.11458418513933336,0.3101109764457371,0.9657110170503945,0.18471322023489226,0.3101109764457371,0.4474766086383728,714.5807985269536,1.9901271153931066e-143,Excellent
K-Means (K=20),20,0.0,0.9812283512292659,0.08786636709293373,199641.24405304805,0.5462118214314509,2.6888888888888896,2.6492195631945266,0.010818958280551568,1.0,-1.442695160185952e-10,0.11263176521462553,0.30957974104315594,1.0000000000000016,0.18313773714129353,0.30957974104315594,0.4433849293913489,740.5952728210683,8.869660675062811e-145,Excellent
GMM (n=5),5,0.0,0.6572815447935134,0.7954924889588756,4034.5734495173065,0.09106566133825052,7.210714285714285,2.8116315701926498,0.5144274828168633,0.9083001988071571,0.24591300950134223,0.24221889926517534,0.2960431222268624,0.6017592527590044,0.19631021545685756,0.29604312222686247,0.6416920724347228,356.6037735095074,6.577476862437446e-76,Excellent
GMM (n=10),10,0.0,0.8032510486825646,0.4658019905628247,11835.836818149128,0.20612307705838262,12.897619047619036,2.876375162916431,0.18654338741986726,0.9622266401590457,0.09658523023426233,0.13280254690009494,0.30335561245828896,0.8435862568891777,0.18492809661154924,0.30335561245828896,0.4825265085399504,570.7167443201683,4.017882221612054e-117,Excellent
GMM (n=15),15,0.0,0.91978582441424,0.2563025701475126,40053.121601351486,0.2769729829822912,12.897619047619036,2.7971838599143743,0.05148259181732974,1.0,-1.4426951601859516e-10,0.11738823108489466,0.3248524915440626,1.0000000000000016,0.1939247080655568,0.3248524915440626,0.4517486388392638,733.9786653569793,1.4331288426435077e-147,Excellent
Agglomerative (n=10),10,0.0,0.8288849871055329,0.43601587324064817,16350.336919349791,0.2070082283592712,0.0,3.000407300374334,0.1627714029824546,0.9612326043737575,0.09071165250427304,0.13187894383442753,0.3047129409622127,0.8530981488708084,0.18548207840955483,0.30471294096221263,0.4803195852909763,596.5471011639397,1.1536102148602832e-122,Excellent
Agglomerative (n=15),15,0.0,0.9400771543070034,0.24458593821320712,59452.83134427345,0.4999999999999997,2.6888888888888896,2.853288857145947,0.037772206163299175,1.0,-1.442695160185952e-10,0.11558862543221123,0.3214493477042142,1.0000000000000018,0.19150410937230977,0.3214493477042142,0.4486103954623849,736.5615480537243,4.0229798147275234e-148,Excellent
