strategy,eps,min_samples,n_clusters,noise_ratio,silhouette_score,davies_bouldin,calinski_harabasz
PCA_2D,0.02,2,144,0.06560636182902585,0.43409048769782,0.4663254243815611,4294.302285579243
PCA_2D,0.02,3,80,0.09741550695825049,0.5650063794138678,0.46573395311685983,6738.792730790811
PCA_2D,0.02,4,52,0.12773359840954274,0.5969180953997222,0.44395897759903763,8989.592446838526
PCA_2D,0.02,5,37,0.1555666003976143,0.7095598687082383,0.40625973930168496,12336.567131211454
PCA_2D,0.02,6,33,0.17842942345924453,0.6462439221876732,0.43096782413857687,12958.290742983882
PCA_2D,0.02,7,23,0.20054671968190854,0.6663285866732139,0.39760806852585956,16525.47751102528
PCA_2D,0.02,8,21,0.2139662027833002,0.669368727943381,0.39008472906650804,17237.2577538699
PCA_2D,0.02,10,17,0.24279324055666004,0.7523476522552877,0.34363583041130585,18855.728586995196
PCA_2D,0.02,12,14,0.2676441351888668,0.739477550481274,0.4387057898390377,19666.83884342327
PCA_2D,0.02,15,13,0.2927435387673956,0.7567465599368489,0.3431932266479957,18087.06812989438
PCA_2D,0.03,2,82,0.032803180914512925,0.5665119975840289,0.4778904399374756,3582.100476123343
PCA_2D,0.03,3,55,0.04622266401590457,0.65249941410107,0.5050325779022845,5020.681622835038
PCA_2D,0.03,4,46,0.059145129224652086,0.7093015759043457,0.4409374925648525,5749.826205286772
PCA_2D,0.03,5,39,0.07927435387673956,0.6895162291462292,0.4386620700643044,6669.237889050859
PCA_2D,0.03,6,32,0.0966699801192843,0.710263682966588,0.42427493120509985,7377.50317978247
PCA_2D,0.03,7,26,0.12052683896620278,0.7166621530789388,0.4173827297178751,8508.512779567616
PCA_2D,0.03,8,24,0.13593439363817097,0.7315811788695227,0.428160407865897,16349.251214681135
PCA_2D,0.03,10,19,0.16078528827037775,0.739733080228138,0.3814854079879535,18525.873080340007
PCA_2D,0.03,12,16,0.18041749502982107,0.7386170449336559,0.35225109603808813,22672.759602462596
PCA_2D,0.03,15,16,0.1925944333996024,0.7419897162008707,0.3382224870933986,22187.170556939775
PCA_2D,0.039999999999999994,2,58,0.01665009940357853,0.546219061869589,0.4757445050484359,4909.3067951274315
PCA_2D,0.039999999999999994,3,44,0.02360834990059642,0.6925865069540985,0.47229643211257694,6330.385496119719
PCA_2D,0.039999999999999994,4,40,0.031312127236580514,0.7019189485566465,0.4774411705826136,6801.518810245477
PCA_2D,0.039999999999999994,5,40,0.04025844930417495,0.7071980867264335,0.46719945562240267,6652.3439336184065
PCA_2D,0.039999999999999994,6,33,0.0536779324055666,0.6942754742738927,0.432222576023224,7775.629096322595
PCA_2D,0.039999999999999994,7,27,0.06933399602385686,0.7190640415547299,0.43887528897019007,8773.388166552613
PCA_2D,0.039999999999999994,8,21,0.08996023856858847,0.7202025115119209,0.3641931599313134,10771.06719044488
PCA_2D,0.039999999999999994,10,18,0.10462226640159046,0.7446587446555973,0.3399500250963888,11788.933848426339
PCA_2D,0.039999999999999994,12,17,0.12748508946322068,0.74062388193604,0.388156110391064,11637.317578759423
PCA_2D,0.039999999999999994,15,15,0.1478628230616302,0.7504439923786442,0.311126772745924,12014.727748854837
PCA_2D,0.049999999999999996,2,49,0.010188866799204771,0.6879300824242224,0.47305625119109196,5554.004127161614
PCA_2D,0.049999999999999996,3,39,0.015159045725646123,0.6956682068832573,0.4855748511800723,6855.868079645146
PCA_2D,0.049999999999999996,4,37,0.018638170974155068,0.6972170178587521,0.47921467027593034,7254.024661650943
PCA_2D,0.049999999999999996,5,37,0.020377733598409543,0.6963110045464074,0.4889807724113569,7221.550719334882
PCA_2D,0.049999999999999996,6,33,0.030566600397614316,0.705132540002701,0.47501074656539954,7856.713766769614
PCA_2D,0.049999999999999996,7,31,0.039512922465208745,0.7121931773651273,0.4592738003881834,8524.724054906232
PCA_2D,0.049999999999999996,8,29,0.04696819085487078,0.7142038059156728,0.44470067517074047,8773.145148363508
PCA_2D,0.049999999999999996,10,21,0.07504970178926441,0.7346327302989721,0.3579514801888638,10739.272260607004
PCA_2D,0.049999999999999996,12,19,0.08573558648111332,0.7366202072229718,0.3694076762235003,11361.846897621794
PCA_2D,0.049999999999999996,15,18,0.10313121272365805,0.7319477105914562,0.38953638677856267,11588.72501513192
PCA_2D,0.06,2,39,0.004721669980119284,0.6710901388686077,0.5425367426728542,6387.2602663023745
PCA_2D,0.06,3,32,0.008200795228628231,0.6919437840639783,0.4866600375955171,7697.20906688893
PCA_2D,0.06,4,29,0.01242544731610338,0.7010800198521578,0.4592358726915932,8652.117119957371
PCA_2D,0.06,5,30,0.01441351888667992,0.7034900255745935,0.45362649513497255,8543.502877528705
PCA_2D,0.06,6,30,0.018389662027833,0.7142107861908622,0.4494492002778617,8496.69514181277
PCA_2D,0.06,7,29,0.023359840954274354,0.7144387380621043,0.45657203993283985,8641.354957480535
PCA_2D,0.06,8,27,0.03106361829025845,0.7194659534116368,0.43234827161446965,9033.27340216736
PCA_2D,0.06,10,24,0.04348906560636183,0.7251479783265237,0.39826616876948373,10086.307156594577
PCA_2D,0.06,12,22,0.05690854870775348,0.7292802087992014,0.37353908240678085,10498.846011049485
PCA_2D,0.06,15,17,0.08001988071570576,0.7414631310127048,0.3494836702462156,12270.08204583179
PCA_2D,0.06999999999999999,2,29,0.003727634194831014,0.6820686255823931,0.5607451205001259,7472.525909717158
PCA_2D,0.06999999999999999,3,26,0.005218687872763419,0.6974336532097299,0.4747396905498944,8284.055503542742
PCA_2D,0.06999999999999999,4,24,0.00720675944333996,0.702942937509857,0.4767450755744727,9041.663149614222
PCA_2D,0.06999999999999999,5,25,0.009691848906560637,0.6959201544424484,0.46828881052738025,8853.243959375013
PCA_2D,0.06999999999999999,6,25,0.01242544731610338,0.7079660897305629,0.4586811240672691,9043.57685014304
PCA_2D,0.06999999999999999,7,25,0.015407554671968192,0.7067623301903466,0.46833482267772103,9079.384624242137
PCA_2D,0.06999999999999999,8,24,0.018141153081510934,0.7105637399746005,0.4563021918623697,9358.66546174419
PCA_2D,0.06999999999999999,10,23,0.027833001988071572,0.7227560447261024,0.3938643838791443,10665.47703573462
PCA_2D,0.06999999999999999,12,21,0.04324055666003976,0.7265604339862023,0.38464050394942073,11255.886747298648
PCA_2D,0.06999999999999999,15,19,0.05939363817097416,0.7282939202586389,0.37646880231132884,11610.676060211317
PCA_2D,0.07999999999999999,2,24,0.002485089463220676,0.7026948379883513,0.4604391200528892,8439.005252892308
PCA_2D,0.07999999999999999,3,23,0.002982107355864811,0.7054485130832258,0.4627240547941032,8779.03127316146
PCA_2D,0.07999999999999999,4,21,0.004721669980119284,0.7110609337781819,0.4665283247357224,9625.664901033086
PCA_2D,0.07999999999999999,5,21,0.004721669980119284,0.7110609337781819,0.46652832473572237,9625.664901033086
PCA_2D,0.07999999999999999,6,21,0.00621272365805169,0.7125950490695669,0.4631255458475741,9780.806475701842
PCA_2D,0.07999999999999999,7,21,0.008200795228628231,0.713972328024928,0.4575931093892946,9839.95532355222
PCA_2D,0.07999999999999999,8,22,0.010188866799204771,0.7118831926191131,0.4647546749804316,9513.204373006109
PCA_2D,0.07999999999999999,10,21,0.018141153081510934,0.7185352137912699,0.43499662649359694,9889.75920000979
PCA_2D,0.07999999999999999,12,20,0.02907554671968191,0.7284307655793761,0.3740999990238013,11059.230137949442
PCA_2D,0.07999999999999999,15,18,0.04348906560636183,0.7333697516006628,0.3541174087857202,11861.87335472843
PCA_2D,0.09,2,23,0.0017395626242544733,0.6849481890137766,0.5619174305569222,5381.96229486025
PCA_2D,0.09,3,21,0.0027335984095427437,0.6895067634598047,0.5687951048941157,5887.624775040168
PCA_2D,0.09,4,19,0.0044731610337972166,0.6956666589678187,0.5823779251446822,6514.152842246293
PCA_2D,0.09,5,20,0.0044731610337972166,0.7131673958794068,0.4673297340370112,9958.34925524988
PCA_2D,0.09,6,20,0.004721669980119284,0.7133418006991449,0.46706506299035855,9969.632112739268
PCA_2D,0.09,7,20,0.00621272365805169,0.7151077800095612,0.46220979992032085,10188.446768964146
PCA_2D,0.09,8,19,0.0091948310139165,0.7161423493122335,0.4654631183224143,10638.335660305258
PCA_2D,0.09,10,19,0.010685884691848906,0.7168474724231544,0.46061729309847266,10616.607838421443
PCA_2D,0.09,12,20,0.0176441351888668,0.7176280743522859,0.44511291334922054,10246.202543724006
PCA_2D,0.09,15,19,0.030566600397614316,0.7283577378166852,0.3769736401990911,11447.591525443439
PCA_2D,0.09999999999999999,2,21,0.0014910536779324055,0.6911375702365411,0.5699477083670123,5900.757533489844
PCA_2D,0.09999999999999999,3,20,0.0019880715705765406,0.6948186060483915,0.5780508127351146,6180.334840014611
PCA_2D,0.09999999999999999,4,20,0.0022365805168986083,0.6950639929573693,0.5701551369894855,6180.583872087031
PCA_2D,0.09999999999999999,5,20,0.0032306163021868788,0.7127121257550196,0.46914212210304396,9925.130461159086
PCA_2D,0.09999999999999999,6,20,0.003727634194831014,0.7129550220996231,0.4680314399449569,9939.129438981134
PCA_2D,0.09999999999999999,7,20,0.004721669980119284,0.7138399614481042,0.465780389616169,10041.423304648872
PCA_2D,0.09999999999999999,8,20,0.004721669980119284,0.7138399614481042,0.465780389616169,10041.423304648872
PCA_2D,0.09999999999999999,10,19,0.008200795228628231,0.7155006819635207,0.4670126468785288,10562.790828383131
PCA_2D,0.09999999999999999,12,20,0.012176938369781311,0.7149807931945809,0.4511305965038058,10132.903495161529
PCA_2D,0.09999999999999999,15,19,0.02485089463220676,0.7250883479367867,0.3944412923266811,11345.6381040229
PCA_2D,0.10999999999999999,2,19,0.0009940357852882703,0.5768883640239956,0.6445267214112121,2261.9907186721684
PCA_2D,0.10999999999999999,3,19,0.0009940357852882703,0.5768883640239956,0.6445267214112121,2261.9907186721684
PCA_2D,0.10999999999999999,4,19,0.001242544731610338,0.5771041635257427,0.6374214340079095,2261.455477579149
PCA_2D,0.10999999999999999,5,19,0.002485089463220676,0.5945332826672711,0.5456781252459877,2639.9792361825757
PCA_2D,0.10999999999999999,6,19,0.002982107355864811,0.5947910997452981,0.5445089861322119,2636.4849308386915
PCA_2D,0.10999999999999999,7,19,0.002982107355864811,0.5947910997452981,0.5445089861322119,2636.4849308386915
PCA_2D,0.10999999999999999,8,19,0.002982107355864811,0.5947910997452981,0.5445089861322119,2636.4849308386915
PCA_2D,0.10999999999999999,10,18,0.0054671968190854875,0.5953297851263095,0.553278157452644,2754.5517332423515
PCA_2D,0.10999999999999999,12,19,0.006709741550695825,0.595435334606823,0.532071936363011,2620.106635098355
PCA_2D,0.10999999999999999,15,20,0.010685884691848906,0.7158941396669434,0.4528747147124534,10219.104237086058
PCA_2D,0.11999999999999998,2,18,0.0004970178926441351,0.553503963334454,0.7107691130632037,1912.839437336459
PCA_2D,0.11999999999999998,3,18,0.0004970178926441351,0.553503963334454,0.7107691130632037,1912.839437336459
PCA_2D,0.11999999999999998,4,18,0.0004970178926441351,0.553503963334454,0.7107691130632037,1912.839437336459
PCA_2D,0.11999999999999998,5,18,0.0017395626242544733,0.5709060120807987,0.6268538146622766,2174.95785388274
PCA_2D,0.11999999999999998,6,18,0.0017395626242544733,0.5709060120807987,0.6268538146622766,2174.95785388274
PCA_2D,0.11999999999999998,7,19,0.0017395626242544733,0.5946833888181802,0.546834019313355,2649.9032962077235
PCA_2D,0.11999999999999998,8,19,0.0017395626242544733,0.5946833888181802,0.5468340193133548,2649.903296207724
PCA_2D,0.11999999999999998,10,18,0.004224652087475149,0.5949615271299764,0.5566433624934332,2767.820335554001
PCA_2D,0.11999999999999998,12,18,0.0044731610337972166,0.5950684128395194,0.5559040876262242,2765.971019355877
PCA_2D,0.11999999999999998,15,20,0.006709741550695825,0.7121007396785258,0.45542035828120964,10100.907767261058
PCA_2D,0.12999999999999998,2,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.12999999999999998,3,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.12999999999999998,4,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.12999999999999998,5,17,0.0017395626242544733,0.5482595311397642,0.6935637352416766,1773.142139819791
PCA_2D,0.12999999999999998,6,17,0.0017395626242544733,0.5482595311397642,0.6935637352416766,1773.142139819791
PCA_2D,0.12999999999999998,7,17,0.0017395626242544733,0.5482595311397642,0.6935637352416766,1773.142139819791
PCA_2D,0.12999999999999998,8,18,0.0017395626242544733,0.5754676399581627,0.5775076015221141,2577.5468566397053
PCA_2D,0.12999999999999998,10,17,0.003976143141153081,0.5755197075358488,0.5905371564832369,2704.04213591623
PCA_2D,0.12999999999999998,12,17,0.003976143141153081,0.5755197075358488,0.5905371564832369,2704.04213591623
PCA_2D,0.12999999999999998,15,17,0.004721669980119284,0.575851059611953,0.5880543510561723,2696.388070184564
PCA_2D,0.13999999999999999,2,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.13999999999999999,3,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.13999999999999999,4,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.13999999999999999,5,16,0.0017395626242544733,0.5316948618482148,0.783111801154726,1699.354083042092
PCA_2D,0.13999999999999999,6,16,0.0017395626242544733,0.5316948618482148,0.783111801154726,1699.354083042092
PCA_2D,0.13999999999999999,7,16,0.0017395626242544733,0.5316948618482148,0.783111801154726,1699.354083042092
PCA_2D,0.13999999999999999,8,17,0.0017395626242544733,0.5583525236515777,0.6908221755235225,2361.5731422713466
PCA_2D,0.13999999999999999,10,16,0.003976143141153081,0.5583593115049528,0.7040208368533616,2486.581482781318
PCA_2D,0.13999999999999999,12,16,0.003976143141153081,0.5583593115049528,0.7040208368533616,2486.581482781318
PCA_2D,0.13999999999999999,15,17,0.004224652087475149,0.5752896335368803,0.5894852888763772,2699.412267529225
PCA_2D,0.15,2,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.15,3,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.15,4,17,0.0004970178926441351,0.5308346267851256,0.7641044910060134,1595.9110289780328
PCA_2D,0.15,5,16,0.0017395626242544733,0.5316948618482148,0.783111801154726,1699.354083042092
PCA_2D,0.15,6,16,0.0017395626242544733,0.5316948618482148,0.783111801154726,1699.354083042092
PCA_2D,0.15,7,16,0.0017395626242544733,0.5316948618482148,0.783111801154726,1699.354083042092
PCA_2D,0.15,8,17,0.0017395626242544733,0.5583525236515777,0.6908221755235225,2361.5731422713466
PCA_2D,0.15,10,16,0.003727634194831014,0.5583426191581671,0.7049503138830873,2487.017897278932
PCA_2D,0.15,12,16,0.003727634194831014,0.5583426191581671,0.7049503138830873,2487.017897278932
PCA_2D,0.15,15,17,0.003727634194831014,0.5752400409925996,0.5906500226328478,2701.6109397348305
PCA_2D,0.16999999999999998,2,13,0.00024850894632206757,0.05876160590576173,0.712874321568655,333.3113035387656
PCA_2D,0.16999999999999998,3,13,0.00024850894632206757,0.05876160590576173,0.712874321568655,333.3113035387656
PCA_2D,0.16999999999999998,4,13,0.00024850894632206757,0.05876160590576173,0.712874321568655,333.3113035387656
PCA_2D,0.16999999999999998,5,12,0.0014910536779324055,0.10290678512729262,0.7033075525143438,362.69845058068984
PCA_2D,0.16999999999999998,6,12,0.0014910536779324055,0.10290678512729262,0.7033075525143438,362.69845058068984
PCA_2D,0.16999999999999998,7,12,0.0014910536779324055,0.10290678512729262,0.7033075525143438,362.6984505806899
PCA_2D,0.16999999999999998,8,12,0.0014910536779324055,0.10290678512729262,0.7033075525143438,362.6984505806899
PCA_2D,0.16999999999999998,10,11,0.0034791252485089465,0.10201647028953277,0.7219937139037026,390.29523279888656
PCA_2D,0.16999999999999998,12,12,0.003727634194831014,0.10673070250151608,0.7827906014236055,356.9194272935043
PCA_2D,0.16999999999999998,15,12,0.003727634194831014,0.10673070250151608,0.7827906014236055,356.9194272935043
PCA_2D,0.18999999999999997,2,9,0.00024850894632206757,0.29900714656451893,0.8050651279228974,450.3674085923095
PCA_2D,0.18999999999999997,3,9,0.00024850894632206757,0.29900714656451893,0.8050651279228974,450.3674085923095
PCA_2D,0.18999999999999997,4,9,0.00024850894632206757,0.29900714656451893,0.8050651279228974,450.3674085923095
PCA_2D,0.18999999999999997,5,9,0.00024850894632206757,0.29900714656451893,0.8050651279228974,450.3674085923095
PCA_2D,0.18999999999999997,6,9,0.0004970178926441351,0.29915381415218223,0.8050564971626919,450.45558159611704
PCA_2D,0.18999999999999997,7,9,0.0004970178926441351,0.29915381415218223,0.8050564971626919,450.45558159611704
PCA_2D,0.18999999999999997,8,9,0.001242544731610338,0.2997439371023205,0.80501821539806,450.7875475581013
PCA_2D,0.18999999999999997,10,8,0.0032306163021868788,0.29936999831301403,0.8186002649756013,503.43454093500816
PCA_2D,0.18999999999999997,12,9,0.0032306163021868788,0.3046136445954565,0.8858303837990471,446.8286023768152
PCA_2D,0.18999999999999997,15,9,0.0032306163021868788,0.3046136445954565,0.8858303837990471,446.8286023768152
PCA_2D,0.20999999999999996,2,4,0.00024850894632206757,0.45239881636042073,0.38593218677984864,175.53263054224126
PCA_2D,0.20999999999999996,3,4,0.00024850894632206757,0.45239881636042073,0.38593218677984864,175.53263054224126
PCA_2D,0.20999999999999996,4,4,0.00024850894632206757,0.45239881636042073,0.38593218677984864,175.53263054224126
PCA_2D,0.20999999999999996,5,4,0.00024850894632206757,0.45239881636042073,0.38593218677984864,175.53263054224126
PCA_2D,0.20999999999999996,6,4,0.0004970178926441351,0.4523859460971971,0.38593563050520135,175.5159638993783
PCA_2D,0.20999999999999996,7,4,0.0004970178926441351,0.4523859460971971,0.38593563050520135,175.5159638993783
PCA_2D,0.20999999999999996,8,4,0.0004970178926441351,0.4523859460971971,0.38593563050520135,175.5159638993783
PCA_2D,0.20999999999999996,10,3,0.002485089463220676,0.4582762335692504,0.3851267756357947,240.1483985646099
PCA_2D,0.20999999999999996,12,3,0.002485089463220676,0.4582762335692504,0.3851267756357947,240.1483985646099
PCA_2D,0.20999999999999996,15,3,0.002485089463220676,0.4582762335692504,0.3851267756357947,240.1483985646099
PCA_2D,0.22999999999999995,2,2,0.00024850894632206757,0.567921237798167,0.36054540019184594,370.38584252131153
